Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Vehicle_Reference_df,Casualty_Reference,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile,label
1,9,18,0,0,0,35,6,1956.0,2,4,533710.0,170820.0,-0.078401,51.42063,1,3,1,8.0,212.0,212.0,2,1,25,5,0,0,9,2,0
1,9,9,0,0,0,35,6,2497.0,1,5,538040.0,174920.0,-0.01457,51.456437,1,2,2,7.0,21.0,236.0,1,1,35,6,0,0,9,2,0
1,9,3,0,0,0,35,6,1360.0,1,16,445210.0,366990.0,-1.324705,53.198075,30,2,1,327.0,617.0,617.0,1,1,35,6,0,0,9,2,1
1,9,18,0,0,0,22,5,1896.0,2,13,393240.0,411860.0,-2.103629,53.603258,6,1,1,106.0,0.0,0.0,1,1,22,5,6,9,0,5,0
2,9,18,0,0,0,55,8,1560.0,2,7,536370.0,253390.0,-0.007737,52.161944,35,2,1,395.0,0.0,0.0,2,1,55,8,0,0,9,8,1
2,9,3,0,0,0,49,8,1598.0,2,1,372380.0,355490.0,-2.413917,53.095894,7,3,2,129.0,534.0,0.0,2,1,49,8,0,0,9,8,0
2,5,18,0,0,0,37,7,599.0,1,5,451537.0,343131.0,-1.2338209999999998,52.983051,31,2,1,342.0,6002.0,0.0,2,1,37,7,0,0,5,7,0
1,9,9,0,0,0,33,6,1461.0,2,10,523880.0,182480.0,-0.215613,51.527652,1,2,2,1.0,404.0,0.0,1,1,33,6,0,0,9,7,1
2,9,10,0,0,0,23,5,1399.0,2,12,336470.0,414650.0,-2.962026,53.624513,4,3,4,84.0,570.0,0.0,1,3,9,2,0,0,9,3,0
1,9,9,0,0,0,54,8,1360.0,1,14,537820.0,173950.0,-0.018112,51.447774,1,2,2,7.0,21.0,0.0,1,1,54,8,0,0,9,2,0
1,9,9,0,0,0,33,6,1798.0,1,12,244610.0,126515.0,-4.216724,51.016959,50,2,1,588.0,0.0,0.0,2,1,11,3,6,9,0,2,1
2,9,18,0,0,0,24,5,899.0,1,19,434819.0,261055.0,-1.491434,52.246581,23,2,2,293.0,4455.0,0.0,2,2,24,5,0,0,9,8,1
2,9,13,0,0,0,54,8,1686.0,2,2,444830.0,360470.0,-1.331304,53.13950300000001,30,2,2,321.0,1.0,0.0,2,1,54,8,0,0,9,4,0
1,9,18,0,0,0,34,6,1596.0,1,13,434018.0,420968.0,-1.486416,53.684068,13,3,1,206.0,0.0,0.0,2,1,44,7,0,0,9,2,1
2,9,18,0,0,0,80,11,999.0,1,9,482605.0,237663.0,-0.79732,52.031235,43,2,2,479.0,129.0,1056.0,2,2,71,10,0,0,9,6,1
1,9,18,0,0,0,24,5,998.0,1,4,549570.0,220352.0,0.170682,51.86170900000001,41,2,2,432.0,1060.0,285.0,2,2,42,7,0,0,9,10,1
1,9,18,0,7,0,24,5,1299.0,1,11,511550.0,185370.0,-0.39236,51.556195,1,1,1,26.0,0.0,0.0,1,1,24,5,0,0,9,7,1
3,9,4,0,0,0,36,7,1796.0,1,8,202445.0,52004.0,-4.777359,50.334756,50,3,2,596.0,390.0,0.0,1,1,29,6,0,0,9,1,1
1,9,9,0,0,0,31,6,1968.0,2,7,406030.0,278800.0,-1.912786,52.407174,20,2,2,300.0,0.0,0.0,2,2,45,7,0,0,9,1,1
1,9,18,0,0,0,78,11,1242.0,1,13,621470.0,220130.0,1.213203,51.835842,42,2,2,461.0,1032.0,0.0,2,2,68,10,0,0,9,4,0
1,9,18,0,0,0,28,6,1910.0,2,9,434104.0,422010.0,-1.484999,53.693427,13,2,2,206.0,642.0,0.0,2,2,50,8,0,0,90,4,0
1,9,13,0,0,0,39,7,4475.0,1,17,521551.0,336421.0,-0.193902,52.911475,32,2,2,354.0,52.0,0.0,2,1,50,8,0,0,9,6,0
2,9,10,0,0,0,29,6,1299.0,1,13,333908.0,397990.0,-2.997229,53.474472,5,2,2,93.0,5422.0,0.0,2,2,5,1,0,0,9,2,1
1,21,18,0,0,0,36,7,11705.0,2,7,350342.0,384900.0,-2.74759,53.35863199999999,7,2,1,124.0,0.0,0.0,2,1,34,6,0,0,9,4,0
1,8,18,0,0,0,29,6,1896.0,2,10,452289.0,517349.0,-1.193159,54.548701,17,1,2,243.0,0.0,0.0,1,2,1,1,0,0,8,1,0
1,8,5,0,0,0,44,7,1997.0,2,6,540520.0,183110.0,0.024359,51.529421,1,1,1,17.0,112.0,166.0,1,1,28,6,9,5,0,3,0
3,9,3,0,0,0,32,6,1868.0,2,15,384690.0,433180.0,-2.233896,53.794701,4,4,6,72.0,6114.0,0.0,3,3,3,1,0,0,9,4,0
1,9,9,0,0,0,18,4,998.0,1,4,503663.0,439475.0,-0.426015,53.841188,16,1,2,231.0,164.0,0.0,1,2,76,11,1,1,0,6,1
2,9,4,0,0,0,43,7,1389.0,1,16,376720.0,285270.0,-2.344088,52.46487,22,2,2,286.0,442.0,0.0,2,1,43,7,0,0,9,8,1
2,9,18,0,0,0,25,5,1339.0,1,10,384270.0,401760.0,-2.23867,53.512283,6,2,3,102.0,0.0,0.0,2,3,17,4,0,0,9,1,0
2,9,15,0,0,0,43,7,2148.0,2,13,437044.0,390359.0,-1.444216,53.408752,14,2,1,215.0,0.0,0.0,1,1,26,6,0,0,9,3,0
1,9,3,0,0,0,26,6,1248.0,2,2,456544.0,404010.0,-1.148457,53.529715,14,3,1,211.0,0.0,0.0,2,1,51,8,0,0,9,6,1
2,9,18,0,0,0,24,5,1197.0,1,2,343320.0,552380.0,-2.884566,54.862976,3,2,1,62.0,6.0,0.0,2,1,24,5,0,0,9,10,1
1,9,16,0,0,0,27,6,1781.0,1,13,439843.0,229757.0,-1.421504,51.96487,43,1,3,485.0,234.0,0.0,1,2,19,4,0,0,9,7,0
1,19,13,0,0,0,46,8,2151.0,2,10,383220.0,148746.0,-2.241741,51.237645,54,2,1,635.0,36.0,0.0,2,1,27,6,0,0,9,9,0
1,9,18,0,0,0,26,6,1995.0,2,5,476476.0,171577.0,-0.901141,51.438037,43,3,4,475.0,329.0,7504.0,2,1,51,8,0,0,8,2,1
1,9,18,0,0,0,35,6,1197.0,1,2,436015.0,434796.0,-1.454574,53.808215,13,3,2,204.0,0.0,0.0,2,2,36,7,0,0,9,5,0
1,9,9,0,0,0,54,8,1149.0,1,3,278296.0,125329.0,-3.736343,51.014423,50,2,1,582.0,3227.0,0.0,2,1,26,6,0,0,9,6,1
2,11,18,0,0,4,62,9,9360.0,2,3,435428.0,439801.0,-1.462913,53.853238,13,2,1,204.0,58.0,0.0,1,1,27,6,0,0,9,6,0
1,9,5,0,0,0,39,7,1242.0,1,7,428749.0,426005.0,-1.565724,53.72965500000001,13,2,3,204.0,650.0,0.0,1,3,16,4,0,0,9,7,1
1,9,18,0,0,6,37,7,1388.0,1,7,349630.0,463690.0,-2.771134,54.066673,4,5,2,76.0,6.0,0.0,1,2,58,9,0,0,9,2,1
2,9,18,0,0,0,30,6,1600.0,2,4,502300.0,172268.0,-0.5295300000000001,51.440179,43,2,1,474.0,376.0,7416.0,2,1,30,6,0,0,9,10,1
1,8,18,0,0,0,63,9,2987.0,2,3,450052.0,220733.0,-1.274235,51.88292,43,1,1,481.0,4095.0,4095.0,1,1,63,9,0,0,8,6,0
3,9,3,0,0,0,35,6,1956.0,2,6,582770.0,217787.0,0.6509590000000001,51.828795,42,3,2,451.0,0.0,0.0,1,1,31,6,0,0,19,9,0
1,9,9,0,0,0,66,10,1197.0,1,2,232479.0,85637.0,-4.3708269999999985,50.646273,50,2,1,596.0,3254.0,0.0,2,1,41,7,0,0,9,9,1
1,9,10,0,0,0,20,4,1149.0,1,14,562299.0,100405.0,0.300799,50.780513,47,3,1,551.0,259.0,0.0,2,1,44,7,0,0,1,4,1
1,9,17,0,0,11,24,5,1596.0,1,10,386724.0,363610.0,-2.200052,53.169436,7,1,3,129.0,54.0,0.0,1,2,22,5,0,0,9,9,0
1,9,18,0,0,0,52,8,1390.0,1,5,360100.0,413070.0,-2.604574,53.612651,4,3,5,73.0,6.0,0.0,1,1,52,8,0,0,9,8,0
1,9,9,0,0,0,34,6,1364.0,1,7,495555.0,237355.0,-0.608696,52.026389,40,2,3,424.0,421.0,421.0,2,3,15,3,0,0,9,3,1
2,9,3,0,0,0,43,7,1910.0,2,8,413592.0,302862.0,-1.8006509999999998,52.623354000000006,21,4,3,252.0,6.0,0.0,4,4,40,7,0,0,9,5,1
1,9,18,0,0,0,70,10,1998.0,1,12,381129.0,343986.0,-2.282588,52.992867,21,5,1,253.0,6.0,0.0,2,1,50,8,0,0,9,7,1
1,9,5,0,0,0,49,8,1560.0,2,2,374680.0,429110.0,-2.3855150000000003,53.757728,4,2,1,75.0,6185.0,6231.0,2,1,26,6,0,0,9,1,1
1,9,18,0,0,0,26,6,1242.0,1,6,528700.0,174480.0,-0.149083,51.454681,1,2,2,10.0,205.0,0.0,1,1,26,6,0,0,9,6,1
2,8,5,0,0,0,32,6,1997.0,2,2,501234.0,177903.0,-0.54325,51.491021,43,3,2,473.0,4.0,470.0,1,1,55,8,0,0,9,9,0
2,9,16,0,0,0,24,5,1330.0,1,17,436854.0,403459.0,-1.445542,53.52650799999999,14,2,2,210.0,783.0,0.0,2,2,4,1,0,0,9,4,1
2,9,18,0,0,0,58,9,1686.0,2,3,618108.0,307915.0,1.221069,52.62515500000001,36,2,1,406.0,1108.0,183.0,2,1,58,9,0,0,9,2,1
1,9,9,0,0,0,69,10,1598.0,1,11,421309.0,254209.0,-1.6897369999999998,52.18572,23,2,1,293.0,422.0,0.0,2,1,12,3,0,0,1,9,1
1,5,18,0,0,0,47,8,675.0,1,1,334483.0,398079.0,-2.988586,53.47534399999999,5,1,1,93.0,0.0,0.0,1,1,47,8,0,0,5,1,0
1,9,17,0,0,10,24,5,2993.0,2,5,367590.0,429530.0,-2.493092,53.76110799999999,4,1,2,70.0,0.0,0.0,1,2,16,4,0,0,9,1,0
1,9,18,0,0,3,31,6,998.0,1,13,420675.0,423622.0,-1.688259,53.708617,13,1,1,203.0,62.0,0.0,1,1,31,6,0,0,9,3,0
1,9,4,0,0,0,23,5,973.0,1,13,341700.0,408160.0,-2.881745,53.56679499999999,4,4,3,84.0,570.0,0.0,3,2,25,5,0,0,9,10,0
2,9,9,0,0,0,52,8,2143.0,2,1,342513.0,364639.0,-2.86154,53.175737,7,2,2,130.0,0.0,0.0,1,1,35,6,0,0,20,3,1
2,9,2,0,0,0,27,6,1598.0,2,3,388860.0,405720.0,-2.169598,53.54799499999999,6,2,2,104.0,0.0,0.0,1,2,79,11,0,0,9,5,1
2,9,3,0,0,0,20,4,1364.0,1,8,537680.0,195490.0,-0.011705,51.641366,1,3,4,13.0,112.0,0.0,1,1,24,5,0,0,9,2,0
3,9,18,0,0,0,28,6,3960.0,1,19,426322.0,435515.0,-1.601702,53.81525600000001,13,3,1,204.0,65.0,0.0,3,1,28,6,0,0,9,1,1
1,9,17,0,0,10,22,5,1390.0,1,2,374330.0,318920.0,-2.381891,52.767261,22,1,1,284.0,0.0,0.0,1,1,22,5,0,0,9,6,0
3,9,4,0,0,0,53,8,1198.0,1,2,509325.0,213674.0,-0.415586,51.811019,41,3,5,434.0,1.0,0.0,2,2,32,6,0,0,19,7,0
2,9,3,0,0,0,64,9,998.0,1,2,455079.0,219027.0,-1.20148,51.86711,43,2,2,481.0,34.0,0.0,2,1,64,9,0,0,9,10,1
1,9,18,0,0,0,24,5,1349.0,1,6,413637.0,184855.0,-1.804669,51.562411,54,1,1,633.0,0.0,0.0,1,1,9,2,5,2,0,5,0
1,9,18,0,0,0,24,5,1498.0,1,8,521160.0,185870.0,-0.253637,51.558708,1,2,2,28.0,4088.0,406.0,2,2,46,8,0,0,19,3,1
1,2,18,0,0,0,21,5,49.0,1,6,540400.0,190210.0,0.025463,51.59325,1,1,1,14.0,168.0,0.0,1,1,21,5,0,0,2,3,0
1,9,5,0,0,0,48,8,1242.0,1,1,330670.0,435500.0,-3.054382,53.811145,4,1,1,71.0,0.0,0.0,1,1,45,7,5,1,0,1,1
1,9,18,0,0,0,23,5,5439.0,1,12,500746.0,233405.0,-0.534223,51.98997,40,4,5,424.0,1.0,0.0,2,2,23,5,0,0,9,8,0
2,9,4,0,10,0,42,7,1149.0,1,10,346500.0,410310.0,-2.809648,53.58663000000001,4,2,2,84.0,5209.0,0.0,2,2,42,7,0,0,9,2,1
2,9,3,0,0,0,39,7,1796.0,1,6,447185.0,191903.0,-1.319788,51.623975,43,2,1,483.0,4017.0,0.0,2,1,39,7,0,0,9,10,0
2,9,10,0,0,0,24,5,1598.0,1,16,286647.0,72423.0,-3.60102,50.540558,50,2,2,585.0,383.0,0.0,2,2,18,4,0,0,9,3,1
2,9,9,0,0,0,62,9,1799.0,1,7,549680.0,173250.0,0.152138,51.438476,1,2,1,18.0,223.0,0.0,1,1,20,4,0,0,3,9,1
1,9,18,0,0,0,38,7,1796.0,1,16,529580.0,169980.0,-0.13807,51.41404,1,2,1,9.0,0.0,0.0,1,1,38,7,0,0,9,5,1
5,9,4,0,0,0,60,9,1388.0,1,7,371007.0,91463.0,-2.412089,50.722062,55,5,2,645.0,35.0,0.0,1,2,76,11,0,0,90,10,1
1,9,18,0,0,0,18,4,1390.0,1,9,350899.0,392513.0,-2.740408,53.427109,5,3,3,92.0,570.0,0.0,2,2,25,5,0,0,9,3,0
1,9,18,0,0,0,51,8,2148.0,2,13,554700.0,186390.0,0.230061,51.555188,1,2,2,15.0,0.0,0.0,2,2,19,4,0,0,9,6,1
1,9,18,0,0,0,22,5,1998.0,1,11,449760.0,206224.0,-1.280556,51.752506,43,1,1,482.0,420.0,0.0,1,1,25,5,5,3,0,2,0
1,9,12,0,0,0,20,4,1229.0,1,8,528670.0,177930.0,-0.14826,51.485692,1,4,3,1.0,3212.0,0.0,4,3,20,4,0,0,1,2,1
2,9,18,0,0,0,37,7,1598.0,2,3,638074.0,308971.0,1.516244,52.626251,36,2,3,401.0,1140.0,0.0,1,1,52,8,0,0,9,4,0
1,9,16,0,0,4,26,6,1598.0,1,11,383931.0,367092.0,-2.242008,53.20065699999999,7,1,1,129.0,316.0,0.0,1,1,26,6,0,0,9,2,0
1,9,9,1,0,0,20,4,1124.0,1,9,433049.0,390524.0,-1.504292,53.410499,14,2,1,215.0,0.0,0.0,1,1,20,4,0,0,9,7,1
2,9,4,0,0,0,49,8,1598.0,1,4,425301.0,563813.0,-1.606331,54.968302,10,4,2,147.0,167.0,0.0,2,1,49,8,0,0,9,9,1
2,9,9,0,0,0,36,7,998.0,1,3,524312.0,322599.0,-0.158132,52.786657,32,2,3,354.0,151.0,851.0,2,2,36,7,0,0,9,7,1
2,9,18,0,0,0,21,5,1242.0,1,6,534020.0,185210.0,-0.068488,51.549871,1,2,2,4.0,0.0,0.0,1,1,42,7,0,0,9,3,1
1,9,4,0,0,0,43,7,1598.0,1,7,161546.0,39675.0,-5.343342,50.208931,50,2,2,596.0,0.0,0.0,1,1,43,7,0,0,9,1,1
1,9,16,0,0,2,51,8,1124.0,1,8,421399.0,434070.0,-1.6765709999999998,53.802494,13,1,2,204.0,0.0,0.0,1,2,61,9,0,0,9,8,0
1,9,18,0,0,0,59,9,2148.0,2,13,537940.0,176760.0,-0.015291,51.472996,1,2,1,6.0,2.0,2211.0,2,1,18,4,0,0,9,3,0
1,9,9,0,0,0,74,10,1360.0,1,16,356710.0,400830.0,-2.654111,53.502371,6,2,1,114.0,5207.0,0.0,2,1,44,7,0,0,3,9,1
1,9,12,0,0,0,64,9,1461.0,2,2,534460.0,200010.0,-0.056473,51.682761,1,4,2,32.0,25.0,0.0,1,1,64,9,0,0,9,4,1
2,9,9,0,0,0,60,9,1198.0,1,3,395760.0,299300.0,-2.064021,52.59148199999999,20,2,1,307.0,0.0,4484.0,1,1,18,4,0,0,3,5,1
2,5,18,0,0,0,60,9,750.0,1,26,403795.0,93610.0,-1.947581,50.742086,55,2,1,643.0,3068.0,0.0,2,1,60,9,0,0,5,10,0
2,9,18,0,0,0,28,6,1582.0,2,2,337242.0,392086.0,-2.945826,53.42182,5,5,1,91.0,5049.0,0.0,3,1,15,3,0,0,9,1,1
2,9,10,0,0,0,39,7,1597.0,1,11,546410.0,279110.0,0.150093,52.390442,35,2,1,391.0,142.0,1421.0,2,1,39,7,0,0,9,10,1
1,9,18,0,0,0,68,10,1329.0,1,3,443846.0,209628.0,-1.365794,51.783603,43,2,1,485.0,4449.0,0.0,2,1,61,9,0,0,1,5,1
2,9,9,0,0,0,58,9,1968.0,2,3,440042.0,481424.0,-1.387302,54.226973,12,2,1,181.0,61.0,0.0,1,1,30,6,0,0,5,9,1
2,9,18,0,0,0,51,8,1997.0,2,1,336380.0,409080.0,-2.962248,53.57444399999999,4,2,4,84.0,5147.0,0.0,1,1,49,8,0,0,9,1,0
1,9,5,0,0,0,38,7,1198.0,1,4,341490.0,431950.0,-2.889409,53.780574,4,2,1,74.0,583.0,5259.0,2,1,34,6,0,0,9,8,1
1,8,1,0,0,0,51,8,1461.0,2,4,425147.0,563934.0,-1.608726,54.969397,10,1,1,147.0,322.0,0.0,1,1,30,6,0,0,8,5,0
1,9,9,0,0,0,42,7,1598.0,1,10,508660.0,224390.0,-0.421862,51.907459,40,2,2,421.0,0.0,0.0,1,1,42,7,0,0,9,8,1
1,9,4,0,0,0,45,7,1587.0,1,9,506676.0,431622.0,-0.382961,53.770025,16,2,1,228.0,1233.0,0.0,1,1,45,7,0,0,9,6,1
2,9,2,0,0,0,51,8,1493.0,2,8,324320.0,513910.0,-3.170521,54.514817,3,2,1,60.0,0.0,0.0,1,1,38,7,0,0,1,4,1
1,9,5,0,0,0,61,9,1124.0,1,14,574036.0,209455.0,0.52017,51.756742,42,2,1,454.0,138.0,130.0,2,1,26,6,0,0,3,7,1
1,9,18,0,0,0,22,5,1388.0,1,7,351620.0,418790.0,-2.733633,53.66334300000001,4,2,2,73.0,581.0,0.0,2,2,62,9,0,0,9,9,1
2,9,14,0,0,0,43,7,1997.0,2,12,387650.0,387050.0,-2.187119,53.38015400000001,6,2,1,109.0,0.0,0.0,2,1,43,7,0,0,9,10,0
1,9,18,0,0,0,36,7,1598.0,1,14,556240.0,185050.0,0.251662,51.542724,1,2,2,15.0,1421.0,0.0,2,2,51,8,0,0,9,6,0
3,9,18,0,0,0,47,8,1598.0,1,1,496620.0,175952.0,-0.610221,51.47429,43,3,3,474.0,308.0,7409.0,2,3,67,10,0,0,9,8,1
1,9,7,0,0,0,26,6,1461.0,2,7,412642.0,187312.0,-1.818935,51.584526,54,3,4,633.0,4587.0,16.0,2,2,34,6,0,0,9,3,0
1,9,18,0,0,7,20,4,1360.0,1,10,217184.0,75018.0,-4.5817120000000005,50.546275,50,1,2,596.0,30.0,0.0,1,2,17,4,0,0,9,8,0
2,5,18,0,0,0,46,8,499.0,1,16,535780.0,169880.0,-0.049009,51.411692,1,2,1,19.0,234.0,0.0,2,1,46,8,0,0,5,10,0
1,9,9,0,0,0,70,10,2204.0,2,7,445827.0,394383.0,-1.31152,53.444231,14,2,1,213.0,630.0,0.0,2,1,57,9,0,0,1,2,0
2,5,18,0,0,0,43,7,645.0,1,1,548660.0,170370.0,0.136266,51.412867,1,2,1,18.0,2173.0,0.0,2,1,43,7,0,0,5,9,0
1,9,18,0,0,0,19,4,1108.0,1,12,407940.0,287470.0,-1.884506,52.485093000000006,20,2,1,300.0,4114.0,0.0,2,1,51,8,0,0,9,1,0
1,11,18,0,0,0,32,6,8268.0,2,14,385480.0,254220.0,-2.2137990000000003,52.186032,22,2,1,276.0,44.0,0.0,2,1,54,8,0,0,9,5,0
2,9,2,0,0,0,28,6,1686.0,2,11,406603.0,441390.0,-1.90107,53.86868000000001,13,2,2,200.0,0.0,0.0,2,2,28,6,0,0,9,3,1
1,9,3,0,0,0,30,6,1560.0,2,9,524070.0,223834.0,-0.198166,51.899247,41,2,4,435.0,302.0,602.0,2,4,60,9,0,0,9,10,0
2,9,4,0,0,0,43,7,1686.0,2,10,384318.0,347771.0,-2.235264,53.026994,21,2,1,253.0,34.0,0.0,1,1,21,5,0,0,9,9,1
3,9,18,0,0,0,21,5,1364.0,1,10,480219.0,192521.0,-0.8425379999999999,51.625798,43,3,3,480.0,40.0,0.0,1,1,61,9,0,0,9,9,1
1,9,5,0,0,0,84,11,1329.0,1,4,491521.0,335717.0,-0.640506,52.91109599999999,32,2,2,355.0,0.0,0.0,2,2,27,6,0,0,9,3,1
2,9,18,0,0,0,43,7,998.0,1,1,421905.0,568825.0,-1.658994,55.0135,10,4,5,147.0,1.0,0.0,2,4,49,8,0,0,9,8,0
1,9,18,0,0,0,42,7,2171.0,1,13,503049.0,228674.0,-0.502115,51.947028,40,3,1,424.0,1.0,0.0,2,1,26,6,0,0,9,10,0
1,9,3,0,4,0,76,11,1598.0,1,14,453941.0,382786.0,-1.191349,53.339235,14,5,3,213.0,57.0,0.0,2,2,38,7,0,0,9,9,0
2,9,18,0,0,0,30,6,1995.0,2,11,407680.0,286270.0,-1.888362,52.474309,20,2,2,300.0,0.0,0.0,2,1,30,6,0,0,9,3,0
2,9,18,0,0,0,41,7,1598.0,2,1,438327.0,387279.0,-1.42529,53.380977,14,2,2,215.0,0.0,0.0,1,1,41,7,0,0,9,1,0
2,9,10,0,0,0,40,7,1086.0,1,10,497530.0,375147.0,-0.539233,53.264364,32,2,2,356.0,15.0,220.0,2,2,9,2,0,0,9,5,1
1,9,12,0,10,0,36,7,1339.0,1,13,420916.0,133838.0,-1.7026439999999998,51.103465,54,2,3,635.0,30.0,0.0,2,2,31,6,0,0,5,7,1
2,9,18,0,0,0,21,5,1242.0,1,9,548810.0,183540.0,0.143963,51.531163,1,3,3,16.0,1306.0,1306.0,2,2,21,5,0,0,9,5,0
1,19,12,0,0,0,49,8,1995.0,2,4,459404.0,238557.0,-1.135304,52.042237,34,2,1,385.0,43.0,43.0,1,1,49,8,0,0,19,10,0
2,2,18,0,0,0,33,6,125.0,1,2,545130.0,183280.0,0.09084,51.529784,1,2,1,16.0,13.0,0.0,2,1,33,6,0,0,2,2,0
2,9,18,0,0,0,34,6,1753.0,2,9,431990.0,419663.0,-1.517254,53.672466,13,2,1,206.0,0.0,0.0,1,1,23,5,0,0,9,3,0
1,8,2,0,0,0,37,7,1896.0,2,8,424226.0,438984.0,-1.633263,53.846536,13,1,1,204.0,0.0,0.0,1,1,67,10,6,9,0,8,0
2,9,18,0,10,1,43,7,1149.0,1,4,527410.0,173240.0,-0.1680849999999999,51.443829,1,2,1,10.0,214.0,229.0,1,1,39,7,0,0,9,4,1
1,9,17,0,0,0,55,8,1399.0,2,12,222873.0,61652.0,-4.49516,50.427941,50,2,2,596.0,0.0,0.0,1,1,55,8,0,0,9,4,1
1,9,18,0,0,0,50,8,1596.0,1,1,539460.0,181540.0,0.008467,51.515576,1,2,1,17.0,13.0,0.0,1,1,50,8,0,0,9,2,1
1,9,9,0,0,0,91,11,1398.0,2,1,596811.0,234199.0,0.86382,51.971404,37,2,2,410.0,134.0,1087.0,2,2,64,9,0,0,9,7,0
2,9,4,0,0,0,41,7,1984.0,1,5,522790.0,203580.0,-0.223929,51.717515,41,2,2,438.0,1.0,0.0,1,1,19,4,0,0,9,7,1
1,19,9,0,0,0,28,6,1968.0,2,2,531640.0,180990.0,-0.104369,51.512508,48,2,1,570.0,201.0,0.0,2,1,44,7,0,0,1,2,0
1,9,18,0,0,0,41,7,998.0,1,7,499023.0,443425.0,-0.495233,53.877582,16,4,8,231.0,1248.0,0.0,3,3,38,7,0,0,9,6,1
2,9,5,0,0,0,38,7,2993.0,2,10,435230.0,334170.0,-1.477666,52.90381800000001,30,2,1,323.0,71.0,0.0,1,1,47,8,0,0,1,1,1
1,9,18,0,0,4,26,6,1149.0,1,7,472738.0,317284.0,-0.923854,52.748291,33,1,2,365.0,6308.0,0.0,1,1,26,6,0,0,9,8,1
1,9,2,0,0,0,35,6,1598.0,1,7,530970.0,168670.0,-0.118577,51.401948,1,2,1,20.0,23.0,0.0,1,1,35,6,0,0,9,5,0
1,9,18,0,0,0,25,5,1781.0,1,14,254396.0,56408.0,-4.049642,50.389481,50,1,1,583.0,0.0,0.0,1,1,13,3,5,1,0,8,1
1,19,16,0,0,0,35,6,1499.0,2,1,389881.0,354567.0,-2.1525380000000003,53.088219,21,2,3,256.0,62.0,0.0,2,1,10,2,0,0,9,7,0
2,9,3,0,0,0,44,7,1968.0,2,4,388250.0,257110.0,-2.173384,52.21208,22,4,3,276.0,4639.0,0.0,1,3,9,2,0,0,9,9,1
1,9,18,0,0,0,29,6,1598.0,1,14,537560.0,173610.0,-0.021983,51.444782,1,1,1,7.0,205.0,0.0,1,1,13,3,4,1,0,2,0
2,9,18,0,0,0,32,6,2494.0,1,15,423802.0,323080.0,-1.6483720000000002,52.80475300000001,21,2,2,251.0,5121.0,5189.0,1,3,22,5,0,0,9,7,0
1,9,7,0,0,0,42,7,1896.0,2,10,530980.0,192070.0,-0.10975,51.612232,1,2,3,32.0,406.0,105.0,2,2,27,6,0,0,19,2,0
2,21,18,0,0,0,55,8,10837.0,2,8,356705.0,188223.0,-2.626361,51.591183,52,2,1,612.0,403.0,0.0,1,1,20,4,0,0,1,10,0
2,19,5,0,0,0,36,7,2496.0,2,16,523879.0,212742.0,-0.204911,51.799612,41,2,2,438.0,1519.0,174.0,2,2,9,2,0,0,19,5,0
1,9,18,0,0,0,19,4,1388.0,1,11,348222.0,136004.0,-2.741184,51.120969,52,2,3,606.0,0.0,0.0,2,2,41,7,0,0,9,5,1
1,5,12,0,0,0,36,7,1450.0,1,14,538420.0,186190.0,-0.004685,51.557616,1,2,2,13.0,12.0,0.0,1,1,36,7,0,0,5,6,0
1,5,17,0,0,0,48,8,996.0,1,11,422343.0,163867.0,-1.6803990000000002,51.373424,54,1,1,635.0,346.0,0.0,1,1,48,8,0,0,5,10,0
4,9,18,0,0,0,59,9,2946.0,1,9,455113.0,220016.0,-1.200828,51.875998,43,37,36,481.0,40.0,0.0,10,27,53,8,0,0,9,6,0
1,19,18,0,4,0,45,7,2198.0,2,2,427198.0,574548.0,-1.575684,55.064666,10,3,2,139.0,19.0,0.0,2,1,42,7,0,0,9,5,0
1,9,18,0,0,0,19,4,1299.0,1,14,482714.0,274692.0,-0.7867029999999999,52.364049,34,2,1,383.0,43.0,0.0,1,1,19,4,0,0,9,7,0
1,9,7,0,0,0,46,8,1998.0,2,3,489480.0,239195.0,-0.696733,52.04394,43,2,2,479.0,4146.0,1103.0,2,1,20,4,0,0,9,2,1
1,9,5,0,0,0,55,8,1588.0,1,12,625438.0,315262.0,1.33419,52.688099,36,2,1,401.0,1150.0,249.0,2,1,42,7,0,0,9,6,0
2,9,1,0,0,0,31,6,1242.0,1,2,426244.0,568688.0,-1.591157,55.01206,10,2,1,148.0,6614.0,6614.0,2,1,31,6,0,0,9,10,1
1,9,18,0,0,0,61,9,1560.0,2,3,538190.0,264100.0,0.023221,52.257718,35,2,2,395.0,1050.0,0.0,1,1,61,9,0,0,9,10,1
3,9,18,0,0,0,48,8,1296.0,1,9,512206.0,198707.0,-0.378636,51.67593400000001,41,5,2,437.0,41.0,0.0,5,2,26,6,0,0,9,4,1
1,19,5,0,0,0,44,7,2198.0,2,5,535490.0,196170.0,-0.043071,51.648008,1,2,1,32.0,110.0,0.0,2,1,29,6,0,0,9,3,0
