age,number_of_juvenile_fellonies,decile_score,number_of_juvenile_misdemeanors,number_of_other_juvenile_offenses,number_of_prior_offenses,days_before_screening_arrest,days_in_custody,violence_decile_score,label
75,0,1,0,0,5,-1,1,1,0
56,0,3,0,0,8,-106,72,3,0
46,0,1,0,0,0,-1,1,1,0
27,0,2,0,0,1,0,7,5,0
59,0,1,0,0,2,0,0,1,0
39,0,1,0,0,1,-15,15,1,0
46,0,4,0,0,5,-1,12,1,0
25,0,2,0,0,1,-1,1,3,0
55,0,1,0,0,2,-1,5,1,0
43,0,1,0,0,0,-1,5,1,1
53,0,1,0,0,0,0,1,1,0
21,0,5,0,0,0,-1,1,6,0
40,0,1,0,0,0,-1,2,1,0
37,0,1,0,0,0,-1,1,1,0
32,0,2,0,0,2,-1,2,2,0
22,0,3,0,0,0,-1,2,5,0
31,0,8,0,0,0,-1,2,5,0
47,0,3,0,0,4,0,0,2,0
36,0,3,0,0,2,-2,6,1,0
38,0,1,0,0,0,-1,1,1,0
35,0,1,0,0,0,-1,2,1,0
53,0,1,0,0,0,-1,1,1,0
53,0,3,0,0,2,-1,1,1,0
57,0,7,0,0,19,-1,118,4,0
21,0,10,0,0,0,-5,1,9,1
24,0,3,0,0,1,279,14,4,0
27,0,5,0,0,2,-1,21,4,0
49,0,5,0,0,4,0,4,1,0
47,0,3,0,0,1,-1,130,1,1
44,0,1,0,0,3,0,0,1,0
34,0,1,0,0,1,-17,2,1,0
38,0,4,0,0,0,-1,1,5,0
50,0,1,0,0,2,0,0,1,0
29,0,6,0,0,1,0,0,4,0
26,0,4,0,0,0,0,0,4,0
47,0,1,0,0,0,0,1,1,0
49,0,1,0,0,0,0,0,1,0
49,0,3,0,0,1,0,66,1,1
59,0,1,0,0,2,0,13,1,0
32,0,5,0,0,6,-29,28,4,0
24,0,2,0,2,1,0,1,4,1
40,0,2,0,0,0,-2,1,1,0
32,0,1,0,0,0,0,0,2,0
54,0,1,0,0,0,0,0,1,0
27,0,10,0,1,9,-1,800,5,1
25,0,8,0,0,2,0,7,4,0
37,2,9,0,0,18,-1,1,9,0
23,0,6,0,0,1,0,1,6,1
20,0,8,0,0,0,0,0,7,0
29,0,7,0,0,7,-67,22,6,1
24,0,2,0,0,1,-59,58,3,0
54,0,3,0,0,1,-48,27,2,0
66,0,1,0,0,3,-36,1,1,0
50,0,2,0,0,8,-14,12,5,0
50,0,2,0,0,7,-1,1,1,0
40,0,1,0,0,3,-1,1,1,0
30,0,7,0,0,4,213,1,6,1
24,0,7,0,0,2,-1,41,5,0
23,0,5,0,0,3,-1,38,3,1
25,0,10,0,2,4,-10,81,7,0
46,0,1,0,0,1,-2,2,1,0
35,0,8,0,0,10,-40,31,5,0
25,0,5,0,0,1,-1,266,3,0
22,0,3,0,0,0,-1,0,4,0
32,0,2,0,0,1,-1,2,1,0
30,0,5,0,0,10,92,105,7,0
33,0,5,0,0,4,-1,2,6,1
24,0,2,0,0,0,0,0,3,0
37,0,2,0,0,0,-1,2,1,0
40,0,1,0,0,0,0,0,1,0
27,0,10,0,0,1,506,230,10,0
43,0,6,0,0,9,-1,79,2,1
26,0,4,0,0,11,-56,56,3,0
25,0,9,1,0,11,-1,252,8,1
53,0,6,0,0,1,-246,51,2,1
52,0,1,0,0,1,-28,1,1,0
47,0,4,0,0,5,-1,1,1,0
52,0,7,0,0,6,0,33,2,0
37,0,1,0,0,0,0,0,2,0
24,0,7,0,0,0,-1,1,5,0
34,0,9,0,0,14,-1,34,8,0
31,0,5,0,0,3,-37,7,7,0
62,0,1,0,0,0,0,0,1,0
60,0,7,0,0,0,0,13,3,0
35,0,1,0,0,0,-1,1,1,0
24,0,7,0,0,0,-1,1,5,0
56,0,2,0,0,1,-60,11,1,1
30,0,1,0,0,0,0,0,2,0
41,0,9,0,0,17,171,47,6,1
28,0,4,0,0,0,-1,0,3,0
23,0,10,1,0,1,689,4,8,0
56,0,1,0,0,0,-1,1,1,0
23,0,2,1,0,1,-1,1,4,0
21,1,7,2,2,3,539,59,8,0
35,0,5,0,0,2,-1,14,2,0
33,0,3,0,0,3,0,0,3,0
21,0,4,0,0,0,-1,38,6,0
41,2,9,1,0,9,-1,1,5,0
24,0,5,0,0,0,-1,4,7,0
25,0,9,0,0,7,0,6,6,0
49,0,2,0,0,3,0,1,1,0
22,0,6,0,0,0,0,0,6,0
27,0,9,0,0,3,-1,23,6,1
32,0,7,0,0,4,302,191,6,1
50,0,5,0,0,4,-3,2,2,0
23,0,3,0,0,0,0,0,3,0
34,0,4,0,0,0,-1,1,2,0
25,0,4,0,0,1,-1,58,6,1
30,0,1,0,0,0,-1,1,1,0
42,0,2,0,0,0,-1,3,1,0
24,0,6,0,0,5,-1,1,5,0
52,0,1,0,0,3,-1,0,2,0
26,0,3,0,0,3,-1,1,3,0
38,0,1,0,0,0,0,1,1,0
25,0,7,0,0,5,77,57,5,0
30,0,5,0,0,0,0,1,2,0
20,0,10,0,0,0,-1,15,10,1
29,0,10,0,0,2,64,2,10,0
24,0,3,0,0,0,-1,1,4,0
31,0,4,0,0,0,-1,78,5,0
54,0,2,0,0,12,-175,171,1,0
37,0,3,0,0,1,-25,1,2,0
33,0,2,0,0,1,-2,1,2,0
20,0,9,0,0,1,-83,83,8,0
42,0,1,0,0,0,0,29,1,0
32,0,6,0,0,4,-1,259,7,1
28,0,7,0,0,7,-1,2,6,1
38,0,4,0,0,0,0,158,2,0
38,0,4,0,0,3,-1,1,1,0
21,0,4,0,0,1,-301,1,5,0
34,0,3,0,0,0,-1,72,2,0
38,0,2,0,0,1,-1,8,2,0
36,0,1,0,0,0,-1,25,1,0
32,0,2,0,0,0,-6,6,2,0
23,0,9,0,0,0,-1,1,8,0
47,0,1,0,0,0,-1,1,1,0
20,0,3,0,0,0,0,0,6,0
35,0,1,0,0,0,-1,1,1,0
30,0,3,0,0,1,-82,42,2,0
28,0,4,0,0,1,-1,1,4,0
45,0,3,0,0,3,336,44,2,0
22,0,9,0,0,0,-1,1,9,0
20,0,10,8,1,8,-1,0,8,1
42,0,1,0,0,0,31,2,1,1
24,1,9,1,0,8,-54,12,10,1
40,0,1,0,0,0,0,0,1,0
27,0,4,0,0,1,-1,6,4,0
60,0,3,0,0,12,-1,2,1,0
33,0,5,0,0,6,-1,18,4,0
24,0,8,0,0,4,-1,5,4,0
29,1,10,1,1,4,0,355,9,1
32,0,1,0,0,0,-1,1,1,0
30,0,5,0,0,10,123,109,2,1
32,0,4,0,0,1,0,0,3,0
27,0,1,0,0,0,-2,10,2,0
30,0,4,0,0,3,-1,1,3,0
57,0,2,0,0,0,0,1,2,0
21,0,4,0,0,0,-1,1,6,0
22,0,5,0,0,0,-1,31,7,0
54,0,2,0,0,1,-95,76,2,0
58,0,3,0,0,2,-9,5,2,0
20,0,10,0,0,0,-1,137,10,1
40,0,1,0,0,0,-1,1,1,0
45,0,2,0,0,5,-1,0,2,0
23,0,9,0,0,4,-27,7,8,0
53,0,3,0,0,1,-1,1,1,0
44,0,1,0,0,0,-1,2,1,0
44,0,5,0,0,1,-6,0,2,0
28,0,1,0,0,0,0,0,2,0
28,0,1,0,0,2,-1,1,2,0
28,0,2,0,0,0,0,0,3,0
53,0,1,0,0,4,0,1,1,0
47,0,5,0,0,1,-1,184,3,0
20,0,3,0,0,1,-24,1,5,0
21,0,6,0,0,0,-6,0,6,0
60,0,1,0,0,1,-18,18,1,0
30,0,1,0,0,0,-1,1,2,0
26,0,9,0,0,5,-1,7,6,1
21,0,5,0,0,0,-1,2,5,0
39,0,2,0,0,1,-1,1360,1,0
30,0,2,0,0,0,-1,6,2,0
44,0,5,0,0,2,-1,11,2,0
45,0,2,0,0,0,-1,3,2,0
30,0,1,0,0,1,-1,4,2,0
38,0,1,0,0,2,0,8,1,0
37,0,4,0,0,1,-139,36,4,0
46,0,1,0,0,0,-1,1,1,0
42,0,1,0,0,0,-1,1,1,0
65,0,1,0,0,2,-84,4,1,0
54,0,2,0,0,4,-1,3,1,0
29,0,10,0,0,7,-1,26,7,1
51,0,1,0,0,7,-1,240,1,1
44,0,1,0,0,0,0,0,1,0
49,0,5,0,0,12,-24,3,1,0
27,0,3,0,0,0,-1,1,3,0
30,0,2,0,0,0,-1,0,1,0
28,0,7,0,0,11,0,8,7,0
45,0,1,0,0,0,-1,1,1,0
51,0,5,0,0,5,0,33,2,0
43,0,3,0,0,2,-1,5,1,0
37,0,2,0,0,2,-1,1,1,0
26,0,2,0,0,0,-1,1,3,0
32,0,3,0,0,4,0,0,2,0
39,0,4,0,0,3,-21,14,1,0
58,0,1,0,0,4,-1,1,1,0
33,0,2,0,0,0,-1,1,3,0
22,0,3,0,1,1,-22,0,4,0
43,0,1,0,0,2,-10,2,1,0
23,0,7,0,0,0,-1,1,6,0
25,0,2,0,0,0,-1,1,4,0
22,0,9,0,0,6,-1,38,9,0
30,0,4,0,0,6,-1,134,4,0
25,0,9,3,1,15,-1,2,7,1
39,0,1,0,0,0,-1,1,1,0
59,0,4,0,0,1,-1,1,1,0
21,0,9,0,2,1,-8,2,8,0
34,0,2,0,0,2,-1,1,2,0
36,0,4,0,0,6,-25,0,2,0
23,0,3,0,0,0,-1,117,5,0
32,0,8,0,0,2,0,109,5,0
66,0,1,0,0,1,-46,28,1,0
66,0,1,0,0,0,-1,1,1,0
24,0,6,0,0,0,-1,24,4,0
28,0,7,0,0,1,-1,2,3,0
43,0,5,0,0,4,0,2,2,1
35,0,2,0,0,3,-1,11,2,0
22,0,6,0,0,1,-1,4,7,1
29,0,1,0,0,0,0,0,2,0
23,0,4,0,0,0,-1,2,5,0
62,0,9,0,0,15,-36,36,9,0
33,0,2,0,0,0,-2,1,1,0
35,0,4,0,0,1,0,0,2,0
53,0,1,0,0,0,0,0,1,0
48,0,1,0,0,0,-1,1,1,0
33,0,2,0,0,1,-10,1,1,0
44,0,1,0,0,0,0,1,1,0
56,0,1,0,0,9,-147,139,1,0
51,0,1,0,0,1,-18,390,1,0
21,0,7,0,0,0,0,8,6,0
26,0,5,0,0,0,0,0,4,0
22,0,9,3,0,3,0,0,10,0
29,0,2,0,0,0,-1,1,3,0
44,0,1,0,0,0,-1,1,1,0
41,0,5,0,0,2,-1,15,3,0
28,0,4,0,1,4,0,0,3,0
31,0,3,0,0,7,-1,1,2,0
20,0,4,0,2,0,-1,0,7,0
36,0,8,0,0,0,0,1,2,0
23,1,9,0,0,1,-1,5,9,0
59,0,1,0,0,1,-21,7,1,0
37,0,2,0,0,0,-4,61,1,1
31,0,2,0,0,0,-1,1,4,0
38,0,10,0,0,14,-1,32,3,1
27,0,8,0,0,3,-1,8,6,1
42,0,2,0,0,2,-1,1,1,0
22,0,8,0,0,3,-1,53,5,1
21,0,6,0,0,0,-1,2,8,0
57,0,7,0,0,15,-32,20,3,0
52,0,1,0,0,2,-1,1,1,0
29,0,3,0,0,0,-1,1,3,0
37,0,4,0,0,0,0,5,3,0
34,0,2,0,1,0,-1,6,1,0
53,0,1,0,0,0,0,1,1,1
35,0,3,0,0,0,-7,6,2,0
28,0,4,0,0,1,-1,4,2,0
21,0,8,0,0,1,-1,1,9,0
22,0,7,0,0,1,13,44,6,0
42,0,3,0,0,1,-1,1,2,1
54,0,1,0,0,9,0,1,1,0
39,0,2,0,0,1,-1,6,1,1
41,0,1,0,0,0,0,1,1,0
43,0,2,0,0,1,-1,44,1,1
22,0,3,0,0,0,-1,3,5,1
42,0,3,0,0,2,-1,35,1,0
49,0,2,0,0,4,0,36,1,0
52,0,1,0,0,1,-1,25,1,0
60,0,1,0,0,2,-1,1,1,0
23,0,6,0,0,0,-1,1,6,0
30,0,7,0,0,2,-1,100,6,0
32,0,7,0,0,2,0,2,5,1
22,0,5,0,0,3,20,214,8,1
44,0,2,0,0,2,-1,2,1,0
32,0,4,0,0,3,-1,3,4,0
27,0,2,0,0,1,-1,1,2,0
61,0,2,0,0,3,0,0,1,1
69,0,1,0,0,3,0,0,2,0
51,0,1,0,0,2,-1,34,1,0
21,0,6,0,0,1,-1,18,6,0
24,0,9,5,0,12,0,37,9,1
57,0,1,0,0,3,-2,1,1,0
30,0,7,0,0,6,-1,7,8,0
24,0,7,0,1,4,-1,1,4,0
30,0,7,0,0,7,-18,18,3,0
57,0,2,0,0,0,-1,1,1,1
56,0,8,0,0,1,-1,215,3,0
21,0,8,0,0,1,-8,258,8,0
31,3,10,0,0,6,-1,507,6,1
23,0,9,0,0,1,-1,1,8,0
42,0,1,0,0,1,-13,0,1,0
64,0,3,0,0,0,-1,199,2,0
21,0,6,0,0,0,-1,1,6,1
36,0,3,0,0,5,17,11,2,0
50,0,1,0,0,1,-1,1,1,0
28,0,3,0,0,2,-1,49,4,0
25,0,7,0,0,5,-3,5,4,0
53,0,10,0,0,4,-1,4,5,0
54,0,4,0,0,14,-1,90,3,1
37,0,1,0,0,6,-1,1,2,0
25,0,9,0,1,5,-1,15,8,1
35,0,7,0,0,2,-1,1,4,0
25,0,10,0,0,8,-1,3,10,1
33,0,1,0,0,0,-1,1,1,0
29,0,3,0,0,7,-1,2,4,0
27,0,4,0,0,2,-1,1,3,0
20,0,10,2,1,3,-1,36,8,1
72,0,1,0,0,1,-23,1,1,0
38,0,1,0,0,0,-1,3,1,0
40,0,2,0,0,0,-1,1,1,0
23,0,3,0,0,0,-1,1,4,0
21,0,8,0,0,5,-10,6,8,1
41,0,1,0,0,0,-1,1,1,0
56,0,1,0,0,1,-1,2,1,0
55,0,7,0,0,11,-1,18,3,0
28,0,2,0,0,3,-1,1,2,0
31,0,2,0,0,2,-1,13,4,1
56,0,2,0,0,3,-49,22,1,0
53,0,1,0,0,0,-1,1,1,0
33,0,6,0,0,7,-1,130,7,1
34,0,7,0,0,15,-6,4,7,0
32,0,8,0,0,12,-1,1,6,0
24,0,2,0,0,0,0,0,3,0
56,0,1,0,0,0,0,0,1,0
36,0,4,0,0,1,30,107,4,1
28,0,6,0,0,4,0,21,5,1
59,0,1,0,0,0,-2,1,1,0
29,0,8,0,0,11,-1,1,5,0
72,0,1,0,0,3,-5,5,1,0
45,0,9,0,0,3,6,36,1,0
45,0,1,0,0,0,-1,1,1,0
47,0,1,0,0,0,-1,1,1,0
34,0,3,0,0,2,-1,240,2,0
22,0,3,0,0,2,102,1,6,0
41,0,1,0,0,5,-1,1,1,0
49,0,3,0,0,1,-16,13,1,0
26,0,1,0,0,0,-1,1,2,0
34,0,3,0,0,2,-49,194,2,1
28,0,3,0,0,0,-1,1,3,0
33,0,2,0,0,2,-1,2,2,0
46,0,7,0,0,0,0,1,4,0
21,0,4,0,0,0,-1,2,6,0
28,0,5,0,0,2,-68,7,4,0
29,0,1,0,0,0,-1,1,2,0
21,0,8,0,0,0,0,4,10,1
26,0,7,0,0,0,-1,1,5,0
34,0,1,0,0,3,-4,1,1,0
22,0,3,0,0,0,-1,1,5,0
57,0,4,0,0,0,-1,1,1,0
56,0,1,0,0,1,-20,1,1,0
30,0,8,2,2,11,-1,2,3,0
29,0,1,0,0,2,-1,1,1,0
36,2,10,0,0,5,-64,119,8,0
24,0,3,0,0,0,-1,1,4,0
70,0,1,0,0,1,-1,2,1,0
45,0,1,0,0,1,-11,1,1,0
33,0,4,0,0,2,-1,2,2,0
39,0,5,1,0,6,0,1,2,0
25,0,4,1,0,6,-16,2,3,0
48,0,1,0,0,1,0,1,1,0
46,0,1,0,0,0,-1,1,1,0
28,0,2,0,0,0,0,3,3,1
27,0,2,0,0,1,-1,1,2,0
43,0,7,0,0,11,16,77,4,1
35,0,9,4,17,12,-1,2527,4,0
29,0,3,0,0,1,-22,62,2,0
20,0,4,0,0,0,0,0,6,0
29,0,1,0,0,0,-1,1,2,0
67,0,1,0,0,0,-1,1,1,0
25,0,2,0,0,0,-1,1,3,0
24,0,9,2,1,8,-1,81,9,1
29,0,6,0,0,3,-1,178,2,0
45,0,6,0,0,2,-1,29,2,0
61,0,1,0,0,0,-1,1,1,0
32,0,1,0,0,1,-15,15,1,0
43,0,6,0,0,9,-2,1,1,0
32,0,1,0,0,0,-1,1,1,0
36,0,5,0,0,0,-1,1,2,0
57,0,9,0,0,12,-1,51,6,0
37,0,7,0,0,2,0,0,6,0
44,0,6,0,0,6,-1,2,2,0
45,0,6,0,0,4,-1,1880,4,0
28,0,8,0,2,9,112,117,6,0
45,0,7,0,0,8,-1,1378,4,1
48,0,1,0,0,1,-1,2,1,0
25,0,3,0,0,0,-1,2,4,0
43,0,1,0,0,1,-1,1,1,0
30,0,1,0,0,0,0,0,1,0
50,0,1,0,0,0,-2,1,1,0
31,0,2,0,0,2,-1,5,2,0
33,0,6,0,0,7,-6,1,2,0
32,0,5,0,0,1,-1,37,5,1
22,0,6,0,0,0,-1,15,7,0
21,0,5,0,0,0,0,0,7,0
52,0,1,0,0,2,-1,7,1,0
49,0,2,0,0,2,-1,1,1,0
22,0,2,0,0,0,-1,1,4,0
45,0,1,0,0,0,-1,13,1,0
28,0,6,0,0,5,-1,1,2,0
21,0,5,0,0,1,-1,11,8,1
37,0,3,0,1,2,-1,1,3,0
28,2,10,1,0,11,-1,26,5,0
24,0,3,0,0,1,-1,1,6,0
44,0,3,0,0,9,73,66,1,0
32,1,7,3,0,24,-1,79,6,1
24,0,5,0,0,1,-1,1,4,0
57,0,3,0,0,19,-1,1,1,0
21,0,6,0,0,0,-1,1,7,0
28,0,2,0,0,0,0,0,2,0
51,0,1,0,0,0,0,92,1,0
25,0,7,1,0,6,-1,33,5,0
19,0,6,0,0,0,-1,5,9,1
57,0,10,0,0,27,-9,9,9,0
27,0,2,0,0,0,0,1,3,0
66,0,1,0,0,1,-1,19,1,0
25,0,7,0,0,4,-46,60,3,1
21,0,3,0,0,0,0,0,6,0
45,0,2,0,0,1,0,0,1,0
38,0,6,0,0,6,-205,3,7,1
37,2,8,3,0,24,-1,20,4,0
64,0,4,0,0,0,-1,4,1,0
30,0,6,0,0,1,-1,0,4,1
61,0,1,0,0,1,-1,2,1,0
49,0,2,0,0,8,-10,9,1,0
23,0,7,0,0,0,0,1,5,0
33,0,8,0,0,14,-79,68,5,0
21,0,9,0,0,0,-2,23,6,1
26,0,4,0,1,7,0,2,4,0
27,0,9,0,1,2,-1,22,4,0
38,0,6,0,0,1,0,15,3,0
26,0,2,0,0,0,-1,1,3,0
23,0,7,0,1,2,0,13,6,0
36,0,1,0,0,0,0,0,1,0
58,0,1,0,0,1,-1,1427,1,0
46,0,3,0,0,5,125,0,2,0
35,0,3,0,0,4,-30,23,4,0
23,0,7,0,0,3,-1,1,5,0
40,0,1,0,0,1,-21,21,1,0
31,0,3,0,0,3,-1,1,3,0
34,0,4,0,0,5,0,1,2,0
26,0,5,0,0,3,-27,27,3,0
49,0,1,0,0,1,0,25,1,0
47,0,1,0,0,0,0,1,1,0
47,0,2,0,0,6,0,5,1,0
45,0,8,0,0,1,378,6,4,0
27,0,9,0,0,10,-1,8,8,0
52,0,1,0,0,0,0,0,1,0
25,0,7,0,1,9,0,18,4,0
51,0,2,0,0,1,-1,163,2,0
29,0,2,0,0,1,0,65,2,0
39,0,3,0,0,1,-1,518,2,0
46,0,1,0,0,0,-1,1,1,0
28,0,4,0,0,6,-2,66,3,0
57,0,1,0,0,0,-1,1,1,0
23,0,5,0,0,2,-1,1,5,0
27,0,3,0,0,3,-1,12,2,0
31,0,7,0,0,1,-1,24,2,1
37,0,2,0,0,8,-1,1,1,0
51,0,2,0,0,0,0,2,1,1
51,0,2,0,0,3,-86,2,1,0
28,0,6,1,0,8,-1,2,6,0
56,0,1,0,0,4,0,7,1,0
26,0,6,0,0,7,-1,18,4,1
33,0,8,0,0,7,-1,1,2,1
23,0,4,0,3,0,-2,1,3,0
31,0,2,0,0,0,0,0,2,0
31,0,3,0,0,0,-1,1,3,0
19,1,9,0,0,1,-12,3,10,0
32,0,1,0,0,0,0,0,1,0
48,0,6,0,0,9,-87,57,6,0
66,0,1,0,0,1,-1,1,1,0
40,0,1,0,0,0,0,0,1,0
59,0,2,0,0,4,0,1,2,0
25,0,7,0,0,5,118,85,7,0
27,0,7,0,0,3,-23,1,3,0
22,0,3,0,0,0,-1,1,6,0
58,0,1,0,0,1,-1,3,1,0
29,0,3,0,0,2,-2,2,2,0
24,0,4,0,0,2,203,6,3,0
27,0,8,0,0,0,-1,33,7,1
24,0,5,0,0,0,-3,5,4,0
35,0,4,1,0,3,0,0,2,0
30,1,9,0,0,5,-1,3,6,1
23,0,2,1,1,1,-1,7,4,0
32,0,4,0,0,2,-27,1,1,1
22,0,5,0,0,2,-1,4,5,0
21,0,3,0,0,0,-1,1,5,0
43,0,2,0,0,0,-1,0,1,0
29,0,8,0,0,0,-1,107,4,0
43,0,3,0,0,1,0,2,3,0
25,0,2,0,0,1,-1,2,3,0
47,0,1,0,0,0,-1,1,1,0
21,0,5,0,0,0,-2,1,6,0
25,0,6,0,0,1,-100,0,3,0
54,0,1,0,0,0,0,0,1,0
34,0,1,0,1,3,-1,34,1,1
28,0,2,0,0,2,-1,1,2,0
54,0,1,0,0,0,0,0,1,0
34,0,4,0,0,2,-1,1,1,0
50,0,9,0,0,11,-210,114,3,0
22,0,4,0,0,0,-1,1,5,0
51,0,7,0,0,3,0,0,4,0
28,0,5,0,0,1,-43,5,5,0
36,0,7,0,0,6,-126,12,3,0
28,0,6,0,1,5,-1,28,5,0
43,0,2,0,0,4,0,2,4,0
45,0,6,0,0,1,-1,27,3,0
41,0,1,0,0,1,-1,114,1,0
25,20,10,0,0,24,-1,129,6,1
35,0,9,1,0,12,-1,10,6,0
24,0,3,0,0,0,-1,1,4,0
21,0,6,0,0,3,34,63,6,1
28,0,4,0,0,0,-1,2,4,0
29,0,10,1,0,13,0,345,10,1
26,0,8,0,0,9,-1,211,7,1
31,0,1,0,0,0,-1,3,1,0
28,0,7,0,0,0,0,6,3,0
44,0,1,0,0,0,-1,0,1,0
42,0,5,0,0,7,-1,1,3,0
39,0,7,0,0,5,-1,10,4,0
46,0,1,0,0,2,-1,3,1,0
55,0,5,0,0,0,-1,10,3,0
31,0,9,0,0,0,-1,5,5,0
25,0,2,0,0,0,-1,1,4,0
32,0,7,0,2,6,0,0,4,0
36,0,5,0,0,2,-1,1,4,0
39,0,4,0,0,2,0,0,2,0
26,0,2,0,0,0,0,0,2,0
22,0,4,0,0,0,-1,2,5,0
37,0,1,0,0,3,-1,1,1,0
41,0,6,0,0,9,-1,33,2,0
25,0,3,0,0,1,0,0,3,0
58,0,1,0,0,0,-1,1,1,0
44,2,9,0,0,19,-17,67,6,1
28,0,4,0,0,1,0,1,5,0
54,0,1,0,0,0,-1,7,1,0
21,0,4,0,0,0,657,53,6,1
43,0,4,0,0,0,-1,1,1,0
31,0,10,0,0,5,0,0,10,0
30,4,10,1,0,11,0,117,9,0
24,0,7,0,0,0,-1,1,4,0
43,0,1,0,0,0,0,0,1,0
51,0,7,0,0,4,-44,30,6,0
24,0,10,0,0,11,-15,78,8,1
31,0,3,0,0,1,309,230,2,0
23,0,3,0,0,0,-1,2,4,0
26,2,10,1,0,8,-85,0,7,1
27,0,9,0,0,1,-1,1,7,0
66,0,1,0,0,0,-1,1,1,0
36,0,4,0,1,3,0,2,1,0
22,0,7,0,0,0,0,3,5,1
25,0,3,0,1,1,-1,1,3,0
56,0,1,0,0,4,-1,2,1,0
29,0,2,0,0,1,37,33,2,0
58,0,1,0,0,3,-18,18,1,0
24,0,5,1,2,3,0,0,6,0
22,0,3,0,0,0,-1,97,6,1
39,0,1,0,0,0,-1,1,1,0
23,0,8,0,0,0,0,31,9,1
39,0,5,0,0,6,-1,26,1,0
25,0,8,0,0,0,0,76,6,0
26,0,6,0,0,6,-1,2,6,0
25,0,9,0,1,2,-1,34,8,0
36,0,1,0,0,0,-3,7,1,0
35,0,4,0,0,7,-23,1,2,1
22,0,4,0,0,2,-1,1,6,1
25,0,2,0,0,0,0,0,3,0
36,0,1,0,0,0,-7,1,1,0
24,0,7,0,0,2,-1,1,7,1
29,0,3,0,0,0,-2,1,1,0
50,0,3,0,0,8,-1,173,2,0
27,0,1,0,0,0,-1,1,2,0
21,0,5,0,0,1,-1,1,5,1
58,0,1,0,0,1,-1,61,1,0
27,0,8,0,0,4,-1,33,5,0
31,0,3,0,0,0,-5,1,2,0
24,0,7,0,0,3,-1,7,7,0
43,0,1,0,0,0,-1,1,1,0
23,0,5,0,0,0,-1,119,6,0
42,0,4,0,0,0,-1,1,1,0
30,0,10,3,0,18,-1,6,8,0
29,0,9,0,0,1,-1,290,7,0
26,0,4,0,1,3,-4,85,4,0
51,0,7,0,0,5,0,5,5,0
36,0,1,0,0,0,0,0,1,0
62,0,1,0,0,0,-2,1,1,0
35,0,2,0,0,1,-1,1,1,0
22,0,3,0,0,0,0,44,5,0
40,0,2,0,0,0,-3,1,1,0
36,0,2,0,0,2,0,1,1,0
69,0,1,0,0,0,-3,1,1,0
27,0,4,1,0,1,-1,8,3,0
27,0,1,0,0,1,-2,1,2,0
24,0,6,0,0,6,-1,99,7,0
42,0,1,0,0,0,-7,3,1,0
25,0,3,0,0,1,-1,1,2,0
25,0,4,0,0,0,-1,1,4,0
22,0,3,0,0,0,-1,1,5,0
21,0,4,0,0,0,-1,1,7,0
30,0,2,0,0,1,0,2,3,0
46,0,5,0,0,9,0,4,2,0
26,0,7,0,0,2,0,0,7,0
40,0,1,0,0,1,-1,1,2,0
34,0,4,0,0,0,-1,28,3,0
28,0,5,0,0,3,-1,1,5,0
59,0,1,0,0,3,0,3,1,1
37,0,2,0,0,0,-1,1,1,0
50,0,1,0,0,0,-1,2,1,0
57,0,5,0,0,8,-1,185,2,1
31,0,5,0,0,5,-1,3,5,0
44,0,8,0,0,9,-28,8,6,0
25,0,4,0,0,0,-1,1,3,0
51,0,3,0,0,5,-1,0,3,0
57,0,1,0,0,2,-11,0,1,0
55,0,1,0,0,0,-1,1,1,0
42,0,1,0,0,0,0,0,1,0
58,0,9,0,0,16,-47,91,9,0
21,0,4,0,0,0,-1,29,5,0
24,0,4,0,0,0,0,0,4,0
42,0,4,0,0,1,0,1,2,0
21,0,6,0,0,1,-1,8,6,0
58,0,1,0,0,0,0,0,1,0
46,0,9,0,0,2,-1,36,4,0
35,0,5,0,0,4,-1,30,6,0
42,0,5,0,0,2,-1,1,4,0
37,0,3,0,0,12,-74,28,2,0
32,0,4,0,1,8,-1,39,2,0
31,0,6,0,0,5,-1,1,4,0
33,0,1,0,0,1,-1,2,2,0
25,0,4,0,0,4,-1,143,4,0
33,0,1,0,0,0,-1,1,1,0
21,0,5,0,0,1,-1,1,9,0
64,0,3,0,0,7,123,76,1,0
56,0,1,0,0,1,-22,3,1,0
38,0,3,0,0,0,-1,1,1,1
40,0,1,0,0,4,-1,1,1,0
34,0,7,0,0,3,-105,116,6,0
28,0,4,0,1,4,-1,24,3,0
51,0,1,0,0,0,-1,1,1,0
35,0,2,0,0,2,-1,2,2,0
61,0,2,0,0,5,-13,47,1,0
25,0,3,0,0,0,0,1,4,0
26,0,5,0,0,0,0,1,4,0
42,0,1,0,0,1,-1,3,1,0
25,0,4,0,0,1,-10,6,4,0
31,0,7,0,0,9,-1,1674,3,0
35,0,2,0,1,1,-1,1,1,0
34,0,1,0,0,0,-1,116,1,0
46,0,1,0,0,5,-93,1,1,0
33,0,2,0,0,1,-1,1,2,0
30,0,2,0,1,3,-1,1,2,0
50,0,4,0,0,7,-1,1,1,0
21,0,5,0,0,0,-1,81,7,0
23,0,4,0,0,0,-1,1,4,0
25,0,6,0,0,1,0,29,6,0
24,0,5,0,0,1,-1,1,4,0
60,0,1,0,0,0,-1,2,1,0
30,0,2,0,0,2,-1,1,3,0
32,0,1,0,0,0,-1,1,1,0
46,0,1,0,0,0,0,0,1,0
21,0,4,0,1,0,-1,1,5,1
28,4,9,0,0,6,-1,545,9,0
